name,itemId,score,imageUrl,sites_url,sites_imageUrl,sites_title
グリコ ポッキーチョコレート,food_0001069591,7452.559895833333,http://ecx.images-amazon.com/images/I/41RVkklv%2B4L._SX385_.jpg,http://www.amazon.co.jp/gp/product/B016U328AK,http://ecx.images-amazon.com/images/I/41RVkklv%2B4L._SX385_.jpg,Amazon.co.jp: グリコ ポッキーチョコレート 2袋 120コ入り: 食品・飲料・お酒 通販
明治 果汁グミぶどう,food_0000121261,1109.3502604166667,http://ecx.images-amazon.com/images/I/512uQu9YuFL._SX342_.jpg,http://www.amazon.co.jp/gp/product/B00G9JWSWY,http://ecx.images-amazon.com/images/I/512uQu9YuFL._SX342_.jpg,Amazon.co.jp: 明治 果汁グミぶどう 51g: 食品・飲料・お酒 通販
ブルボン アルフォートミニチョコレート,food_0000348509,http://ecx.images-amazon.com/images/I/71t1Yq8sElL._SX342_.jpg,http://www.amazon.co.jp/gp/product/B0063C732W,http://ecx.images-amazon.com/images/I/71t1Yq8sElL._SX342_.jpg,Amazon.co.jp: ブルボン アルフォートミニチョコレート 12個入×10箱: 食品・飲料・お酒 通販
カルビー じゃがりこサラダ,food_0000858300,1038.2369791666667,http://ecx.images-amazon.com/images/I/41R6ILmKH3L.jpg,http://www.amazon.co.jp/gp/product/B00VPYFOBU,http://ecx.images-amazon.com/images/I/41R6ILmKH3L.jpg,Amazon.co.jp: カルビー じゃがりこサラダ 60g×36個セット: 食品・飲料・お酒 通販
ブルボン アルフォート ミニチョコレート,food_0000705167,1834.6940104166667,http://ecx.images-amazon.com/images/I/413nKfRzD8L._SX385_.jpg,http://www.amazon.co.jp/gp/product/B00SKO3JHE,http://ecx.images-amazon.com/images/I/413nKfRzD8L._SX385_.jpg,ブルボン アルフォート ミニチョコレート 12個 x10: 食品・飲料・お酒 通販
Bourbon Al Fort mini chocolate twelve,food_0000997898,1649.8020833333333,http://ecx.images-amazon.com/images/I/418Y57z5ytL._SX342_.jpg,http://www.amazon.co.jp/gp/product/B013DFOP40,http://ecx.images-amazon.com/images/I/418Y57z5ytL._SX342_.jpg,Amazon.co.jp: Bourbon Al Fort mini chocolate twelve x10: 食品・飲料・お酒 通販
ブルボン チョコレート ビスケットバラエティセット,food_0000698730,1109.3502604166667,http://ecx.images-amazon.com/images/I/81aqybGE5NL._SX466_.jpg,http://www.amazon.co.jp/gp/product/B00SFADB9O,http://ecx.images-amazon.com/images/I/81aqybGE5NL._SX466_.jpg,Amazon.co.jp: ブルボン チョコレート ビスケットバラエティセット: 食品・飲料・お酒 通販
レッドブルエナジードリンク,food_0000331118,0.00390625,http://ecx.images-amazon.com/images/I/810dXVGddkL._SY445_.jpg,http://www.amazon.co.jp/gp/product/B005F25MQ0,http://ecx.images-amazon.com/images/I/810dXVGddkL._SY445_.jpg,Amazon.co.jp: レッドブルエナジードリンク 250ml×24本: 食品・飲料・お酒 通販
TULLY'S バリスタブラック,food_0000853978,,http://ecx.images-amazon.com/images/I/418khB5UIRL._SX342_.jpg,http://www.amazon.co.jp/gp/product/B00U8NS8LW,http://ecx.images-amazon.com/images/I/418khB5UIRL._SX342_.jpg,Amazon.co.jp: TULLY'S バリスタブラック 285ml×24本: 食品・飲料・お酒 通販
TULLY'S バリスタブラック,food_0000853850,,http://ecx.images-amazon.com/images/I/418khB5UIRL._SX342_.jpg,http://www.amazon.co.jp/gp/product/B00U8NS8LW,http://ecx.images-amazon.com/images/I/418khB5UIRL._SX342_.jpg,Amazon.co.jp: TULLY'S バリスタブラック 285ml×24本: 食品・飲料・お酒 通販
TULLY'S バリスタブラック,food_0000178434,,http://ecx.images-amazon.com/images/I/418khB5UIRL._SX342_.jpg,http://www.amazon.co.jp/gp/product/B00U8NS8LW,http://ecx.images-amazon.com/images/I/418khB5UIRL._SX342_.jpg,Amazon.co.jp: TULLY'S バリスタブラック 285ml×24本: 食品・飲料・お酒 通販
TULLY'S バリスタブラック,food_0001219078,,http://ecx.images-amazon.com/images/I/418khB5UIRL._SX342_.jpg,http://www.amazon.co.jp/gp/product/B00U8NS8LW,http://ecx.images-amazon.com/images/I/418khB5UIRL._SX342_.jpg,Amazon.co.jp: TULLY'S バリスタブラック 285ml×24本: 食品・飲料・お酒 通販
TULLY'S バリスタブラック,food_0000643446,,http://ecx.images-amazon.com/images/I/418khB5UIRL._SX342_.jpg,http://www.amazon.co.jp/gp/product/B00U8NS8LW,http://ecx.images-amazon.com/images/I/418khB5UIRL._SX342_.jpg,Amazon.co.jp: TULLY'S バリスタブラック 285ml×24本: 食品・飲料・お酒 通販
TULLY'S バリスタブラック,food_0000840735,,http://ecx.images-amazon.com/images/I/418khB5UIRL._SX342_.jpg,http://www.amazon.co.jp/gp/product/B00U8NS8LW,http://ecx.images-amazon.com/images/I/418khB5UIRL._SX342_.jpg,Amazon.co.jp: TULLY'S バリスタブラック 285ml×24本: 食品・飲料・お酒 通販
TULLY'S バリスタブラック,food_0000168670,,http://ecx.images-amazon.com/images/I/418khB5UIRL._SX342_.jpg,http://www.amazon.co.jp/gp/product/B00U8NS8LW,http://ecx.images-amazon.com/images/I/418khB5UIRL._SX342_.jpg,Amazon.co.jp: TULLY'S バリスタブラック 285ml×24本: 食品・飲料・お酒 通販
TULLY'S バリスタブラック,food_0000852917,,http://ecx.images-amazon.com/images/I/418khB5UIRL._SX342_.jpg,http://www.amazon.co.jp/gp/product/B00U8NS8LW,http://ecx.images-amazon.com/images/I/418khB5UIRL._SX342_.jpg,Amazon.co.jp: TULLY'S バリスタブラック 285ml×24本: 食品・飲料・お酒 通販
TULLY'S バリスタブラック,food_0000107505,,http://ecx.images-amazon.com/images/I/418khB5UIRL._SX342_.jpg,http://www.amazon.co.jp/gp/product/B00U8NS8LW,http://ecx.images-amazon.com/images/I/418khB5UIRL._SX342_.jpg,Amazon.co.jp: TULLY'S バリスタブラック 285ml×24本: 食品・飲料・お酒 通販
TULLY'S バリスタブラック,food_0001125337,,http://ecx.images-amazon.com/images/I/418khB5UIRL._SX342_.jpg,http://www.amazon.co.jp/gp/product/B00U8NS8LW,http://ecx.images-amazon.com/images/I/418khB5UIRL._SX342_.jpg,Amazon.co.jp: TULLY'S バリスタブラック 285ml×24本: 食品・飲料・お酒 通販
ブルボン アルフォート ミニチョコレート,food_0001154909,1834.6940104166667,http://ecx.images-amazon.com/images/I/413nKfRzD8L._SX385_.jpg,http://www.amazon.co.jp/gp/product/B00SKO3JHE,http://ecx.images-amazon.com/images/I/413nKfRzD8L._SX385_.jpg,ブルボン アルフォート ミニチョコレート 12個 x10: 食品・飲料・お酒 通販
ブルボン アルフォート ミニチョコレート,food_0001260634,1834.6940104166667,http://ecx.images-amazon.com/images/I/413nKfRzD8L._SX385_.jpg,http://www.amazon.co.jp/gp/product/B00SKO3JHE,http://ecx.images-amazon.com/images/I/413nKfRzD8L._SX385_.jpg,ブルボン アルフォート ミニチョコレート 12個 x10: 食品・飲料・お酒 通販
ブルボン アルフォート ミニチョコレート,food_0001193482,1834.6940104166667,http://ecx.images-amazon.com/images/I/413nKfRzD8L._SX385_.jpg,http://www.amazon.co.jp/gp/product/B00SKO3JHE,http://ecx.images-amazon.com/images/I/413nKfRzD8L._SX385_.jpg,ブルボン アルフォート ミニチョコレート 12個 x10: 食品・飲料・お酒 通販
ブルボン アルフォート ミニチョコレート,food_0000168203,1834.6940104166667,http://ecx.images-amazon.com/images/I/413nKfRzD8L._SX385_.jpg,http://www.amazon.co.jp/gp/product/B00SKO3JHE,http://ecx.images-amazon.com/images/I/413nKfRzD8L._SX385_.jpg,ブルボン アルフォート ミニチョコレート 12個 x10: 食品・飲料・お酒 通販
ブルボン アルフォート ミニチョコレート,food_0000198287,1834.6940104166667,http://ecx.images-amazon.com/images/I/413nKfRzD8L._SX385_.jpg,http://www.amazon.co.jp/gp/product/B00SKO3JHE,http://ecx.images-amazon.com/images/I/413nKfRzD8L._SX385_.jpg,ブルボン アルフォート ミニチョコレート 12個 x10: 食品・飲料・お酒 通販
ブルボン アルフォート ミニチョコレート,food_0000187176,1834.6940104166667,http://ecx.images-amazon.com/images/I/413nKfRzD8L._SX385_.jpg,http://www.amazon.co.jp/gp/product/B00SKO3JHE,http://ecx.images-amazon.com/images/I/413nKfRzD8L._SX385_.jpg,ブルボン アルフォート ミニチョコレート 12個 x10: 食品・飲料・お酒 通販
カルビー ポテトチップス うすしお味,food_0000006756,415.29296875,http://ecx.images-amazon.com/images/I/61HEDvZQ6zL._SX342_.jpg,http://www.amazon.co.jp/gp/product/B0036Y0B7E,http://ecx.images-amazon.com/images/I/61HEDvZQ6zL._SX342_.jpg,Amazon.co.jp: カルビー ポテトチップス うすしお味 60g×12個: 食品・飲料・お酒 通販
カルビー ポテトチップス うすしお味,food_0001256378,415.29296875,http://ecx.images-amazon.com/images/I/61HEDvZQ6zL._SX342_.jpg,http://www.amazon.co.jp/gp/product/B0036Y0B7E,http://ecx.images-amazon.com/images/I/61HEDvZQ6zL._SX342_.jpg,Amazon.co.jp: カルビー ポテトチップス うすしお味 60g×12個: 食品・飲料・お酒 通販
カルビー ポテトチップス うすしお味,food_0001156333,415.29296875,http://ecx.images-amazon.com/images/I/61HEDvZQ6zL._SX342_.jpg,http://www.amazon.co.jp/gp/product/B0036Y0B7E,http://ecx.images-amazon.com/images/I/61HEDvZQ6zL._SX342_.jpg,Amazon.co.jp: カルビー ポテトチップス うすしお味 60g×12個: 食品・飲料・お酒 通販
